"multiplier","target","mirage_auc","n","mtada_auc","separate_auc","delta"
2,"pleiotropy",0.725131313131313,10,0.830060606060606,0.720646464646465,-0.104929292929293
2,"trait1",0.69146947368421,10,0.729793684210526,0.689372631578947,-0.0383242105263161
2,"trait2",0.662367346938776,10,0.703102040816327,0.619020408163265,-0.040734693877551
3,"pleiotropy",0.678949494949495,10,0.73030303030303,0.676646464646465,-0.051353535353535
3,"trait1",0.694122105263158,10,0.71104,0.679124210526316,-0.016917894736842
3,"trait2",0.623204081632653,10,0.694918367346939,0.616795918367347,-0.0717142857142861
4,"pleiotropy",0.718060606060606,10,0.722828282828283,0.718262626262626,-0.00476767676767709
4,"trait1",0.704033684210526,10,0.727663157894737,0.705052631578947,-0.023629473684211
4,"trait2",0.655632653061225,10,0.627367346938775,0.613918367346939,0.0282653061224499
5,"pleiotropy",0.740956228956229,30,0.717656565656566,0.73423569023569,0.023299663299663
5,"trait1",0.704746666666667,30,0.687418947368421,0.699458245614035,0.0173277192982459
5,"trait2",0.688571428571429,30,0.661238095238095,0.658387755102041,0.027333333333334
6,"pleiotropy",0.815353535353535,10,0.72589898989899,0.796969696969697,0.089454545454545
6,"trait1",0.706105263157895,10,0.681587368421053,0.682543157894737,0.024517894736842
6,"trait2",0.715102040816327,10,0.699163265306122,0.664795918367347,0.015938775510205
8,"pleiotropy",0.760673400673401,30,0.702249158249158,0.760552188552189,0.0584242424242429
8,"trait1",0.708867368421053,30,0.671557894736842,0.709745964912281,0.037309473684211
8,"trait2",0.682918367346939,30,0.657993197278912,0.670891156462585,0.024925170068027
